Stock,Avg_Daily_Return,Avg_20D_Volatility,Risk_Adjusted_Score,Portfolio_Weight_Percent
MO,0.0015,0.012126,0.123735,3.38
NFLX,0.002327,0.019482,0.11942,3.27
GE,0.002165,0.018701,0.115751,3.17
JPM,0.001729,0.01542,0.11214,3.07
GS,0.002157,0.019365,0.111376,3.05
C,0.002095,0.018897,0.110873,3.03
SCHW,0.001707,0.015939,0.107118,2.93
MS,0.001819,0.018838,0.096555,2.64
CSCO,0.00128,0.013281,0.096352,2.64
GOOG,0.001863,0.019797,0.094081,2.57
RTX,0.001448,0.015417,0.093947,2.57
GOOGL,0.001883,0.020083,0.093746,2.56
WFC,0.001674,0.018745,0.089293,2.44
GILD,0.001529,0.017448,0.087633,2.4
MU,0.0031,0.035753,0.086717,2.37
V,0.001124,0.01312,0.085688,2.34
WMT,0.001185,0.014082,0.084117,2.3
PM,0.001338,0.016367,0.08173,2.24
TSLA,0.003412,0.04249,0.080298,2.2
BA,0.001666,0.02143,0.077745,2.13
MSFT,0.001122,0.014616,0.076771,2.1
IBM,0.001324,0.017641,0.075039,2.05
INTC,0.00278,0.037752,0.073645,2.01
JNJ,0.000853,0.011669,0.073094,2.0
T,0.001,0.013985,0.071484,1.96
BLK,0.001094,0.015683,0.069763,1.91
NVDA,0.001988,0.029087,0.068357,1.87
BKNG,0.001113,0.016316,0.068187,1.86
DUK,0.000723,0.010934,0.06614,1.81
ABBV,0.001054,0.016847,0.062536,1.71
CAT,0.001035,0.017561,0.058921,1.61
GM,0.001163,0.022438,0.051825,1.42
AXP,0.000949,0.018388,0.051616,1.41
MDT,0.000679,0.013255,0.051263,1.4
AMZN,0.00103,0.020467,0.05032,1.38
CVS,0.001108,0.022545,0.049154,1.34
META,0.001037,0.021473,0.048303,1.32
SO,0.000522,0.011099,0.047006,1.29
AMD,0.001442,0.030824,0.04679,1.28
AAPL,0.000798,0.018192,0.043885,1.2
DE,0.000738,0.017876,0.041291,1.13
BRK-B,0.000477,0.011669,0.040868,1.12
USB,0.000606,0.017128,0.035398,0.97
PNC,0.000531,0.015393,0.034508,0.94
ETN,0.000727,0.021482,0.033821,0.93
INTU,0.000578,0.019316,0.02991,0.82
SYK,0.000385,0.012992,0.029669,0.81
CSX,0.000458,0.015726,0.029103,0.8
ADP,0.000302,0.011729,0.025746,0.7
CVX,0.000373,0.014607,0.025511,0.7
NEE,0.000441,0.01797,0.024544,0.67
CB,0.000276,0.012246,0.022577,0.62
ADI,0.000495,0.021966,0.022521,0.62
HON,0.000296,0.014675,0.020164,0.55
QCOM,0.000329,0.021536,0.015278,0.42
LIN,0.00016,0.010834,0.014735,0.4
NOW,0.000308,0.023176,0.01329,0.36
PLD,0.000203,0.017521,0.011565,0.32
VZ,0.000125,0.012724,0.009804,0.27
MCD,0.000112,0.011463,0.009762,0.27
UNP,0.000132,0.01462,0.009055,0.25
KO,5e-05,0.010537,0.004758,0.13
TMO,-0.000195,0.018922,0.0,0.0
TGT,-0.001545,0.023253,0.0,0.0
TXN,-7.1e-05,0.023259,0.0,0.0
UNH,-0.001311,0.02824,0.0,0.0
APD,-0.000368,0.014209,0.0,0.0
VRTX,-6.3e-05,0.020649,0.0,0.0
AMGN,-1.4e-05,0.016764,0.0,0.0
ADBE,-0.001122,0.019817,0.0,0.0
SPGI,-7.6e-05,0.013375,0.0,0.0
ACN,-0.001177,0.017161,0.0,0.0
AMT,-0.000412,0.016532,0.0,0.0
XOM,-0.000142,0.014189,0.0,0.0
SHW,-0.000199,0.015417,0.0,0.0
PG,-0.000197,0.011571,0.0,0.0
BDX,-0.000563,0.017065,0.0,0.0
REGN,-0.001805,0.023539,0.0,0.0
EQIX,-0.000169,0.016035,0.0,0.0
ELV,-0.00092,0.02157,0.0,0.0
ISRG,-4.1e-05,0.019379,0.0,0.0
DHR,-0.000763,0.018974,0.0,0.0
LMT,-0.000412,0.016216,0.0,0.0
LOW,-0.00028,0.015165,0.0,0.0
MDLZ,-0.000282,0.013665,0.0,0.0
MMC,-0.000173,0.011103,0.0,0.0
CRM,-0.000459,0.020228,0.0,0.0
MRK,-0.00056,0.017144,0.0,0.0
COP,-0.000432,0.019694,0.0,0.0
CL,-0.000726,0.013082,0.0,0.0
CI,-0.000132,0.018286,0.0,0.0
PEP,-0.00044,0.013721,0.0,0.0
HD,-1.8e-05,0.014106,0.0,0.0
BMY,-0.000357,0.018214,0.0,0.0
PYPL,-7e-05,0.022381,0.0,0.0
ZTS,-0.000885,0.015937,0.0,0.0
