Stock,Avg_Daily_Return,Avg_20D_Volatility
AAPL,0.0007983483017036531,0.018192018066989633
ABBV,0.0010535653450159702,0.016847231593920733
ACN,-0.0011771566456141,0.01716122971518799
ADBE,-0.0011224745461714532,0.019816986522535232
ADI,0.0004946997131657747,0.021966346228175497
ADP,0.0003019769059924875,0.011729061572834706
AMD,0.001442262643452341,0.030823902766855118
AMGN,-1.4265211861351269e-05,0.01676358360355025
AMT,-0.000411538988717467,0.016532248516110636
AMZN,0.0010299121480853008,0.020467180558340042
APD,-0.0003676642017263579,0.01420869015958561
AXP,0.000949098442319199,0.018387569447230988
BA,0.0016660601284066354,0.021429927639984404
BDX,-0.0005634617602470577,0.017065020557195543
BKNG,0.0011125620406837475,0.016316305692455232
BLK,0.0010940670806204222,0.015682686890230776
BMY,-0.0003574384927849392,0.018214256821073062
BRK-B,0.00047689402463613407,0.011669146214799465
C,0.0020952115450280475,0.018897423631130696
CAT,0.001034715264689237,0.01756109535046822
CB,0.00027647023989842454,0.012245647147313925
CI,-0.0001323220804924164,0.018285853597715077
CL,-0.0007255667240783966,0.01308194494900994
COP,-0.0004316524388765109,0.019694162064382195
CRM,-0.0004594545095394197,0.020227988996378187
CSCO,0.001279640920745551,0.013280906679047197
CSX,0.00045767351089852815,0.01572596137525269
CVS,0.0011081969192817392,0.02254533764192535
CVX,0.0003726335340421796,0.01460687705167229
DE,0.00073813530571767,0.01787629891903868
DHR,-0.0007625843572588067,0.018974096397062747
DUK,0.0007231514506796939,0.010933630247321264
ELV,-0.0009195822000995447,0.02157025612679185
EQIX,-0.0001693058065505061,0.01603476048412014
ETN,0.0007265369408390301,0.021481931675262262
GE,0.0021645993890732672,0.018700516662253655
GILD,0.0015289926164649666,0.01744766787822088
GM,0.0011628755429393435,0.02243843820043643
GOOG,0.0018625058139085016,0.01979691404826023
GOOGL,0.001882737791615622,0.020083376385816157
GS,0.002156825242153501,0.01936521196628969
HD,-1.799628719574614e-05,0.014106297923286479
HON,0.0002959015759956728,0.014674892532241324
IBM,0.0013237925768218549,0.017641412523443555
INTC,0.002780252210443221,0.03775220673352384
INTU,0.0005777292758771194,0.01931585538510816
ISRG,-4.116818978256642e-05,0.01937859806384954
JNJ,0.0008529622013894282,0.011669376160502728
JPM,0.0017291584329460195,0.015419644990767286
KO,5.013237523665905e-05,0.010537306517377738
LIN,0.00015964133767310985,0.010834287672400965
LMT,-0.00041163547908058964,0.01621629759499936
LOW,-0.00028045879258901724,0.015164923078323454
MCD,0.00011190248633058363,0.011463276220871727
MDLZ,-0.00028195553589666333,0.013664556574600646
MDT,0.0006794950493222874,0.013254973039933886
META,0.0010371934166695746,0.02147278655701761
MMC,-0.00017278206688517374,0.011102702663216465
MO,0.0015003660004780444,0.012125685640841885
MRK,-0.0005595506257230667,0.017144351714206616
MS,0.0018188880902847947,0.018837821153963173
MSFT,0.001122094299296768,0.014616070363005754
MU,0.003100346107599003,0.03575265744502946
NEE,0.0004410453318590011,0.017969899345598863
NFLX,0.002326527746590595,0.01948187493704889
NOW,0.00030801333342941954,0.023175920183867472
NVDA,0.0019883065010779127,0.029087135407414578
PEP,-0.00044017222644809927,0.013720888516192232
PG,-0.0001972775168574951,0.011570603261442207
PLD,0.00020263624346855835,0.017520817769074597
PM,0.001337640361620004,0.016366607584076966
PNC,0.0005311803870808447,0.01539316284009775
PYPL,-7.016849400979264e-05,0.022380758879449753
QCOM,0.0003290120695964047,0.021535519233135517
REGN,-0.0018046227455150747,0.023539384936906774
RTX,0.0014484282051311118,0.015417426868765299
SCHW,0.0017074077170962667,0.015939499626575145
SHW,-0.00019882666480610183,0.015417452929388292
SO,0.0005217241388471521,0.011099163457120705
SPGI,-7.583923743945463e-05,0.013374976118996188
SYK,0.0003854475943224091,0.012991657468198168
T,0.0009997003975608166,0.013985039129838246
TGT,-0.001545445603224263,0.02325340814123426
TMO,-0.0001952858726994917,0.018922435859654415
TSLA,0.003411855540966801,0.04249009279863806
TXN,-7.117182409563516e-05,0.02325926369246394
UNH,-0.001311466604179401,0.02823964484623527
UNP,0.0001323887004195486,0.014620171281624102
USB,0.000606292385949648,0.017127640248629724
V,0.0011242584332738453,0.013120410735789192
VRTX,-6.315902051668703e-05,0.020649102552046647
VZ,0.00012475010646508807,0.012724464682506135
WFC,0.0016738379824909283,0.01874541291537246
WMT,0.001184546462981113,0.014082145721815655
XOM,-0.00014222706672035844,0.014189457366053074
ZTS,-0.0008851650554443252,0.015937360022129057
